region_num,rating_order,region_label,style,instruction,source,regional_specificity,style_fidelity,visual_descriptiveness,actionability
1,1,brown wooden cabinets,pointillism,"To stylize the brown wooden cabinets in pointillism, apply small dots of paint in various shades to represent the wood grain and color. Blend different shades of brown to create the illusion of texture and depth. Use a fine brush to apply the dots evenly and consistently. Gradually build up the layers of dots to achieve the desired level of detail and ton",baseline_C,,,,
1,2,brown wooden cabinets,pointillism,[Model declined to generate instruction],baseline_E,,,,
1,3,brown wooden cabinets,pointillism,"To apply a pointillist style to the brown wooden cabinets in the scene, follow these steps:

1. Select the region of the brown wooden cabinets in your image editing software.
2. Duplicate the selected region to create a new layer.
3. Apply a pointillist filter or brush to the new layer. This can be done by using a pointillist",baseline_A,,,,
1,4,brown wooden cabinets,pointillism,"To apply a pointillist style to the brown wooden cabinets in the scene, follow these steps:

1. Select the region of the brown wooden cabinets in your image editing software.
2. Duplicate the selected region to create a new layer.
3. Apply a pointillist filter or brush to the new layer. This can be done by using a pointillist",lora_A_tmplA,,,,
1,5,brown wooden cabinets,pointillism,"To apply Pointillism style specifically to the brown wooden cabinets while leaving the rest of the scene untouched, you can use a local image filter or a masking technique in image editing software. Here's a general instruction for using a mask in Adobe Photoshop:

1. Open the image of the scene in Adobe Photoshop.
2. Select the",baseline_H,,,,
2,1,dark wooden building,expressionism,"To apply expressionism specifically to the dark wooden building in the scene while leaving everything else untouched, you could use the following instruction:

""Apply an expressionist filter to the dark wooden building, enhancing its textures and colors to convey strong emotions and heightened sensations. Use bold, exaggerated brushstrokes and distortions to create a sense of movement and energy",baseline_H,,,,
2,2,dark wooden building,expressionism,[Model declined to generate instruction],baseline_E,,,,
2,3,dark wooden building,expressionism,"To apply an expressionist style to the dark wooden building region, use a post-processing effect that amplifies the contrast, saturation, and angles to create a sense of emotional intensity and distortion. This can be achieved through various image editing software or tools, such as Adobe Photoshop or GIMP, using expressionist filters or manually adjusting the image settings to achieve the desired effect",baseline_A,,,,
2,4,dark wooden building,expressionism,"To apply an expressionist style to the dark wooden building region, use a post-processing effect that amplifies the contrast, saturation, and angles to create a sense of emotional intensity and distortion. This can be achieved through various image editing software or tools, such as Adobe Photoshop or GIMP, using expressionist filters or manually adjusting the image settings to achieve the desired effect",lora_A_tmplA,,,,
2,5,dark wooden building,expressionism,"To stylize the dark wooden building in an expressionist manner, exaggerate the textures and forms to convey strong emotions and heightened reality. Use bold, contrasting colors to emphasize the shadows and highlights, giving the building a sense of depth and drama. Distort the perspectives and shapes to evoke a sense of tension or unease, and use thick, expressive brushst",baseline_C,,,,
3,1,long wooden desk,neoclassicism,"To stylize the long wooden desk in a neoclassical manner, simplify its design by removing any clutter and giving it a sleek, clean look. Use smooth, straight lines and geometric shapes to create a symmetrical and orderly appearance. Consider using a light color palette, such as white or cream, for the wood finish. Add ornate details, such as intr",baseline_C,,,,
3,2,long wooden desk,neoclassicism,"To apply a neoclassical style to the long wooden desk in this scene, follow these steps:

1. Keep the overall color palette light and neutral, with a focus on grays, whites, and woods.
2. Simplify the cluttered desk surface by removing the plush toys, leaving only the essential items: the wooden desk, the two black computer",baseline_A,,,,
3,3,long wooden desk,neoclassicism,"To apply a neoclassical style to the long wooden desk in this scene, follow these steps:

1. Keep the overall color palette light and neutral, with a focus on grays, whites, and woods.
2. Simplify the cluttered desk surface by removing some of the red and white items on the floor and reducing the number of plush toys.",lora_A_tmplA,,,,
3,4,long wooden desk,neoclassicism,"To apply the Neoclassical style specifically to the long wooden desk while leaving the rest of the scene untouched, you could give the following instruction:

""Apply a Neoclassical filter to the long wooden desk, giving it a smooth, polished finish with clean lines and geometric shapes. Remove any clutter or imperfections from the surface, giving it a minimalist and",baseline_H,,,,
3,5,long wooden desk,neoclassicism,"To transfer a neoclassical artistic style specifically to the long wooden desk while leaving everything else untouched in the image, you could instruct an artist or designer to simplify the design of the desk, giving it clean lines and geometric shapes. Neoclassical style often features a sense of order and symmetry, so the desk could be made more minimalist and orderly, with perhaps some",baseline_E,,,,
4,1,a white tent,pop-art,"To transfer a pop-art artistic style specifically to the white tent in the image, you could give the following instruction:

""Apply a pop-art filter to the white tent, enhancing its colors and edges to create a bold, flat, and graphic appearance, similar to the style of pop art.""

This instruction should only affect the white tent in the image, leaving the man",baseline_E,,,,
4,2,a white tent,pop-art,"To stylize a white tent in pop-art style, exaggerate its geometric shapes and bold colors. Use sharp, clean lines to define the tent's structure, and apply bright, vibrant colors to the fabric. Consider adding bold, graphic patterns or symbols to the tent's surface to enhance its pop-art aesthetic.",baseline_C,,,,
4,3,a white tent,pop-art,"To apply a pop-art style to the white tent and the surrounding area in this image, follow these steps:

1. Select the white tent and the grassy area around it as your region of interest (ROI).
2. Apply a color filter to the ROI to enhance the colors and make them more vibrant, as pop-art often features bold and bright colors.",baseline_A,,,,
4,4,a white tent,pop-art,"To apply a pop-art style specifically to the white tent while leaving the rest of the scene untouched, you can use a image editing software or a deep learning model that supports style transfer. Here's a general instruction on how to do it using a software like Adobe Photoshop:

1. Open the image in Adobe Photoshop.
2. Select the",baseline_H,,,,
4,5,a white tent,pop-art,"To apply a pop-art style to the white tent and the surrounding area in this image, follow these steps:

1. Select the white tent and the grassy area around it as your region of interest (ROI).
2. Apply a color filter to the ROI to enhance the colors and make them more vibrant, as pop-art often features bold and bright colors.",lora_A_tmplA,,,,
